1 init
2 using solver MiniLearningHeapRsatExpSimpBiere
998 addClause 354 248 -107 
999 addClause -279 -320 -102 
1000 addClause -142 13 -67 
1001 addClause -152 -279 223 
1002 addClause 259 -47 300 
1003 addClause -38 -75 46 
1004 addClause -205 -69 -133 
1005 addClause 136 29 149 
1006 addClause 48 199 -87 
1007 addClause 91 9 -277 
1008 addClause 21 -269 167 
1009 addClause -176 76 -41 
1010 addClause 329 328 -134 
1011 addClause -83 216 56 
1012 addClause 70 220 345 
1013 addClause -113 45 -21 
1014 addClause -47 -296 346 
1015 addClause -345 44 367 
1016 addClause 71 321 91 
1017 addClause -139 109 188 
1018 addClause 104 201 -116 
1019 addClause -95 -260 310 
1020 addClause 66 -146 -180 
1021 addClause -46 -166 -111 
1022 addClause 261 -368 279 
1023 addClause -73 -3 50 
1024 addClause 247 155 -32 
1025 addClause -177 -82 -139 
1026 addClause 213 197 74 
1027 addClause 137 74 -17 
1028 addClause -308 -199 190 
1029 addClause 22 -342 300 
1030 addClause -367 -74 320 
1031 addClause -60 -117 20 
1032 addClause -33 -217 -201 
1033 addClause -110 -91 230 
1034 addClause 28 63 54 
1035 addClause 235 189 -179 
1036 addClause 47 25 148 
1037 addClause 105 269 -10 
1038 addClause -91 -102 -294 
1039 addClause -355 -223 191 
1040 addClause 276 -238 -125 
1041 addClause -121 -337 231 
1042 addClause 156 275 7 
1043 addClause -221 -321 -69 
1044 addClause -265 12 365 
1045 addClause -77 23 264 
1046 addClause -361 291 -192 
1047 addClause 263 -296 73 
1048 addClause -292 -326 175 
1049 addClause 134 176 116 
1050 addClause -97 -239 -343 
1051 addClause 53 -153 -336 
1052 addClause -278 122 -10 
1053 addClause 265 216 -124 
1054 addClause -369 135 -163 
1055 addClause -166 -116 177 
1056 addClause -18 71 -267 
1057 addClause -180 -20 197 
1058 addClause -367 320 234 
1059 addClause -4 -108 -31 
1060 addClause -362 227 -69 
1061 addClause -231 57 -303 
1062 addClause -300 358 73 
1063 addClause -76 210 302 
1064 addClause 278 243 26 
1065 addClause 155 141 -17 
1066 addClause 225 -296 -75 
1067 addClause -353 -117 15 
1068 addClause 39 137 -168 
1069 addClause 237 -35 -367 
1070 addClause -134 -192 -253 
1071 addClause -194 -90 -260 
1072 addClause -120 -144 156 
1073 addClause 296 16 80 
1074 addClause -310 112 79 
1075 addClause -57 -236 -192 
1076 addClause 149 33 75 
1077 addClause 340 144 31 
1078 addClause 169 124 100 
1079 addClause 277 298 160 
1080 addClause 353 34 65 
1081 addClause 281 -300 -287 
1082 addClause 120 -182 -244 
1083 addClause -316 113 -335 
1084 addClause 296 5 322 
1085 addClause 174 203 249 
1086 addClause 49 142 -249 
1087 addClause -102 -61 174 
1088 addClause 98 53 7 
1089 addClause 319 -1 139 
1090 addClause 70 230 -118 
1091 addClause 326 116 -216 
1092 addClause -29 100 298 
1093 addClause -100 89 249 
1094 addClause -112 106 -93 
1095 addClause 38 -97 288 
1096 addClause -235 300 41 
1097 addClause 100 -359 1 
1098 addClause -224 209 -180 
1099 addClause -199 -64 -181 
1100 addClause -284 161 236 
1101 addClause -210 219 281 
1102 addClause -19 259 154 
1103 addClause -77 84 101 
1104 addClause -323 -358 -187 
1105 addClause 15 -89 -247 
1106 addClause -176 147 -110 
1107 addClause -51 232 192 
1108 addClause 217 309 -369 
1109 addClause -103 -22 -224 
1110 addClause -62 101 235 
1111 addClause 38 145 -308 
1112 addClause -324 -256 -349 
1113 addClause -264 300 -37 
1114 addClause 32 -322 -130 
1115 addClause 184 132 231 
1116 addClause -133 -87 -34 
1117 addClause -238 -363 -280 
1118 addClause -107 -140 146 
1119 solve
