1 init
2 using solver ORDERS
993 addClause -55 402 178 
994 addClause 328 -240 -253 
995 addClause 338 -308 -10 
996 addClause 299 97 417 
997 addClause -283 300 -307 
998 addClause 213 10 214 
999 addClause 154 128 325 
1000 addClause 360 87 -335 
1001 addClause -161 206 -117 
1002 addClause 301 -201 -260 
1003 addClause -95 -57 34 
1004 addClause -361 -59 111 
1005 addClause 371 112 -111 
1006 addClause 22 -249 -173 
1007 addClause 220 -67 -177 
1008 addClause 150 352 381 
1009 addClause -21 37 158 
1010 addClause -112 -288 362 
1011 addClause -240 327 -259 
1012 addClause -279 -285 -258 
1013 addClause 160 -294 183 
1014 addClause -366 -32 -392 
1015 addClause 261 106 -394 
1016 addClause -114 244 235 
1017 addClause -75 -327 303 
1018 addClause -163 267 -47 
1019 addClause 142 427 131 
1020 addClause -71 104 -416 
1021 addClause 241 -315 -358 
1022 addClause 37 -247 -333 
1023 addClause 343 -177 204 
1024 addClause 259 -245 -291 
1025 addClause 176 320 69 
1026 addClause -265 -110 88 
1027 addClause -223 409 -29 
1028 addClause -88 -152 -297 
1029 addClause -292 209 -259 
1030 addClause 227 311 375 
1031 addClause 132 82 -364 
1032 addClause -313 336 285 
1033 addClause 53 224 297 
1034 addClause -380 -145 -141 
1035 addClause -63 268 269 
1036 addClause 229 266 -392 
1037 addClause 58 -333 46 
1038 addClause -59 331 -292 
1039 addClause 385 -392 247 
1040 addClause -318 95 419 
1041 addClause -276 90 -346 
1042 addClause -260 423 332 
1043 addClause 304 126 -345 
1044 addClause 204 -257 48 
1045 addClause 206 -170 -148 
1046 addClause -108 397 -231 
1047 addClause 183 -93 107 
1048 addClause -150 357 419 
1049 addClause 314 129 344 
1050 addClause 418 -265 -200 
1051 addClause -279 300 -20 
1052 addClause -136 226 97 
1053 addClause 19 70 -21 
1054 addClause 18 361 -317 
1055 addClause -148 -223 268 
1056 addClause -175 138 -344 
1057 addClause 371 -375 79 
1058 addClause -390 -168 -103 
1059 addClause 74 142 -68 
1060 addClause 114 296 419 
1061 addClause 8 -320 174 
1062 addClause -387 -412 -85 
1063 addClause -387 252 278 
1064 addClause 291 -72 253 
1065 addClause -40 280 140 
1066 addClause -294 158 -129 
1067 addClause 228 -51 418 
1068 addClause -128 -151 331 
1069 addClause 118 52 242 
1070 addClause 83 -226 381 
1071 addClause 406 -115 -25 
1072 addClause 133 -237 103 
1073 addClause 80 -184 -135 
1074 assuming -410 -95 420 -320 -128 227 327 311 129 -209 303 -204 -58 384 -184 -47 77 -87 -44 -28 174 -425 236 -100 201 60 259 -428 40 47 -269 -342 -165 -251 -273 6 -180 11 -299 403 -319 -17 
