1 init
2 using solver MiniLearningHeapEZSimpNoRestarts
999 addClause 364 -346 185 
1000 addClause 341 136 -42 
1001 addClause 62 336 248 
1002 addClause 76 -94 -316 
1003 addClause 197 -176 -102 
1004 addClause -242 226 -50 
1005 addClause 196 -154 -331 
1006 addClause 206 28 -180 
1007 addClause -202 -206 173 
1008 addClause -111 336 -53 
1009 addClause 196 -353 37 
1010 addClause 24 -127 134 
1011 addClause -113 317 295 
1012 addClause -28 -192 220 
1013 addClause 51 -272 234 
1014 addClause -174 73 132 
1015 addClause 315 16 -151 
1016 addClause 100 129 -140 
1017 addClause 353 -177 235 
1018 addClause 4 28 -351 
1019 addClause -112 -345 56 
1020 addClause 258 -216 288 
1021 addClause 181 111 -360 
1022 addClause -153 -87 -61 
1023 addClause 11 294 145 
1024 addClause 353 -260 365 
1025 addClause -62 193 113 
1026 addClause -110 318 -236 
1027 addClause 1 40 -351 
1028 addClause 118 -203 219 
1029 addClause -69 304 -276 
1030 addClause 358 152 -58 
1031 addClause -103 -47 27 
1032 addClause -125 -25 330 
1033 addClause 361 -97 -3 
1034 addClause 30 98 -181 
1035 addClause 29 -299 -246 
1036 addClause -231 -346 -345 
1037 addClause -251 266 -295 
1038 addClause 31 -350 -107 
1039 addClause 216 -342 334 
1040 addClause -15 -118 -132 
1041 addClause -55 288 -68 
1042 addClause -33 -202 216 
1043 addClause 258 -263 -53 
1044 addClause -82 26 153 
1045 addClause 105 -159 -15 
1046 addClause -99 165 -319 
1047 addClause -1 260 -219 
1048 addClause 154 238 299 
1049 addClause -26 289 -200 
1050 addClause 70 -102 -295 
1051 addClause -50 -260 271 
1052 addClause -30 -11 159 
1053 addClause 74 -64 106 
1054 addClause 7 -77 -221 
1055 addClause -25 139 -182 
1056 addClause 152 125 -261 
1057 addClause 311 -21 -351 
1058 addClause 156 223 23 
1059 addClause 355 353 83 
1060 addClause 172 153 98 
1061 addClause -318 28 -229 
1062 addClause -356 238 354 
1063 addClause -280 165 -324 
1064 addClause -49 294 202 
1065 addClause 325 210 6 
1066 addClause 167 -182 -285 
1067 addClause 69 289 4 
1068 addClause -51 -178 -188 
1069 addClause 185 182 -322 
1070 addClause 149 -85 300 
1071 addClause -288 -333 170 
1072 addClause 333 -42 -146 
1073 addClause -54 -109 153 
1074 addClause -285 -337 346 
1075 addClause 247 180 292 
1076 addClause 272 156 -255 
1077 addClause 107 312 -340 
1078 addClause 133 303 90 
1079 addClause -244 111 150 
1080 addClause 234 -288 122 
1081 addClause 146 -108 -17 
1082 addClause -276 118 33 
1083 addClause 35 72 326 
1084 addClause -151 -52 112 
1085 addClause -249 -331 36 
1086 addClause -262 -75 -209 
1087 addClause 173 -243 -12 
1088 addClause -215 311 -7 
1089 addClause -322 -154 317 
1090 addClause -367 154 -343 
1091 addClause 303 -346 46 
1092 addClause -104 -309 -191 
1093 addClause -245 300 356 
1094 addClause -324 -281 152 
1095 addClause -251 -227 296 
1096 addClause 308 143 112 
1097 addClause -36 -315 -163 
1098 addClause -224 -26 -54 
1099 addClause 329 -366 275 
1100 addClause 325 167 -129 
1101 addClause -310 -316 -113 
1102 addClause 332 97 -20 
1103 addClause 24 231 44 
1104 addClause -159 192 -225 
1105 addClause 337 -332 -152 
1106 addClause 352 247 266 
1107 addClause -228 -182 317 
1108 addClause -92 -208 -146 
1109 addClause -57 304 102 
1110 addClause 229 -238 108 
1111 solve
1112 addClause 238 -53 -36 
1113 addClause 245 49 -358 
1114 addClause -362 -52 -1 
1115 addClause 104 -69 -349 
1116 addClause 247 -158 372 
1117 addClause 215 -25 -151 
1118 addClause 322 -402 -10 
1119 addClause 413 -52 393 
1120 addClause 300 -240 -235 
1121 addClause 69 -142 -249 
1122 addClause -73 -180 -398 
1123 addClause 353 379 206 
1124 addClause -122 81 -5 
1125 addClause 216 173 353 
1126 addClause -278 -383 -80 
1127 addClause 297 259 -410 
1128 addClause 172 -101 335 
1129 addClause -308 316 162 
1130 addClause 396 -186 -174 
1131 addClause 237 -211 142 
1132 addClause 2 308 -64 
1133 addClause -358 110 230 
1134 addClause -380 79 -198 
1135 addClause 372 -320 264 
1136 addClause 152 -129 -229 
1137 addClause -375 352 245 
1138 addClause -222 192 171 
1139 addClause -419 -16 229 
1140 addClause -370 52 367 
1141 addClause 286 -5 -8 
1142 addClause -239 -210 406 
1143 addClause -112 -364 -28 
1144 addClause -406 211 94 
1145 addClause 145 127 -38 
1146 addClause 76 -151 -292 
1147 addClause -199 -21 203 
1148 addClause 211 -122 11 
1149 addClause -145 -252 -27 
1150 addClause 181 -183 -96 
1151 addClause -224 -269 222 
1152 addClause 206 -262 -318 
1153 addClause 98 152 -281 
1154 addClause 347 -122 -167 
1155 addClause 283 -6 -245 
1156 addClause -274 -232 61 
1157 addClause 76 -49 -220 
1158 addClause 310 174 -359 
1159 addClause -32 226 -72 
1160 addClause 254 -258 -207 
1161 addClause -409 -139 -331 
1162 addClause -306 -320 419 
1163 addClause -158 -9 -42 
1164 addClause 415 305 -119 
1165 addClause -105 -241 -114 
1166 addClause -268 -10 -133 
1167 addClause 298 -342 407 
1168 addClause -208 103 -41 
1169 addClause -34 201 419 
1170 addClause -251 -381 -183 
1171 addClause -83 125 -288 
1172 addClause 219 -188 50 
1173 addClause -138 -149 -159 
1174 addClause -47 -292 -254 
1175 addClause -159 263 -139 
1176 addClause -32 -359 96 
1177 addClause 281 298 -24 
1178 addClause 52 100 -200 
1179 addClause -126 75 184 
1180 addClause -359 -286 -135 
1181 addClause -299 354 88 
1182 addClause 173 327 128 
1183 addClause 218 389 -270 
1184 addClause -291 169 -272 
1185 addClause -417 -329 -363 
1186 addClause 43 -201 -159 
1187 addClause 139 -143 257 
1188 addClause -293 70 -347 
1189 addClause 81 61 -275 
1190 addClause -270 364 -65 
1191 addClause -58 199 -72 
1192 addClause -68 117 -111 
1193 addClause -124 329 -143 
1194 addClause 410 186 178 
1195 addClause 100 -365 193 
1196 addClause 336 55 -1 
1197 addClause -211 6 420 
1198 addClause -409 -303 -118 
1199 addClause -157 -329 -248 
1200 addClause -42 -336 67 
1201 addClause -191 61 419 
1202 addClause -382 94 -252 
1203 addClause -284 184 53 
1204 addClause 299 -59 165 
1205 addClause 20 105 -398 
1206 addClause -412 -110 -205 
1207 addClause 415 238 -273 
1208 addClause 338 -276 324 
1209 addClause -66 366 8 
1210 addClause 4 -405 -32 
1211 addClause -208 -237 -292 
1212 addClause 333 -187 -90 
1213 addClause 393 -19 3 
1214 addClause -254 315 284 
1215 addClause 204 275 26 
1216 addClause -57 -411 328 
1217 addClause 259 6 131 
1218 addClause -140 -355 133 
1219 addClause 260 222 -48 
1220 addClause 345 61 -218 
1221 addClause 44 -322 -80 
1222 addClause -126 -220 236 
1223 addClause -353 -145 74 
1224 addClause -324 268 -87 
1225 addClause 277 137 -84 
1226 addClause 114 222 334 
1227 addClause 139 -26 -164 
1228 addClause 282 -95 -47 
1229 addClause 47 28 -17 
1230 addClause -118 146 397 
1231 addClause 142 152 -175 
1232 addClause 121 -15 115 
1233 addClause -18 -210 -130 
1234 addClause 225 22 103 
1235 addClause -382 387 404 
1236 addClause 110 302 -8 
1237 addClause 130 -63 15 
1238 addClause 276 -388 139 
1239 addClause 150 133 -115 
1240 addClause 126 149 299 
1241 addClause 48 408 182 
1242 addClause 387 -304 384 
1243 addClause -142 275 389 
1244 addClause 247 -298 36 
1245 addClause -393 349 410 
1246 addClause -388 255 -94 
1247 addClause -354 -400 -47 
1248 addClause 206 -367 395 
1249 addClause 55 49 198 
1250 addClause 373 -341 235 
1251 addClause 319 -426 423 
1252 addClause 140 298 -99 
1253 addClause 420 368 -421 
1254 addClause -127 -66 175 
1255 addClause -81 313 31 
1256 addClause 391 -230 -134 
1257 addClause -117 -297 260 
1258 addClause 326 54 413 
1259 addClause 350 -214 418 
1260 addClause -200 -159 383 
1261 addClause -155 336 348 
1262 addClause 75 -181 226 
1263 addClause 290 -84 -200 
1264 addClause -365 328 -213 
1265 addClause -352 -6 -419 
1266 addClause 82 349 -61 
1267 addClause 64 -405 -233 
1268 addClause 28 -13 -54 
1269 addClause -357 234 249 
1270 addClause 402 273 -137 
1271 addClause -37 33 -49 
1272 addClause 108 48 89 
1273 addClause -129 -258 -218 
1274 addClause -174 -210 -16 
1275 addClause -387 294 -112 
1276 addClause -289 403 -115 
1277 addClause -376 137 -101 
1278 addClause -393 -239 204 
1279 addClause 76 -172 -285 
1280 addClause -126 130 -249 
1281 addClause 291 372 -345 
1282 addClause -130 -295 396 
1283 addClause 363 -287 -172 
1284 addClause -88 146 41 
1285 addClause -11 -276 219 
1286 solve
1287 addClause 260 6 -200 
1288 addClause -509 428 118 
1289 addClause -454 -362 -5 
1290 addClause -405 -215 -150 
1291 addClause 231 18 372 
1292 addClause -102 -133 20 
1293 addClause 232 -392 397 
1294 addClause -215 -328 -348 
1295 addClause -321 18 -37 
1296 addClause -50 -165 39 
1297 addClause 23 -332 -345 
1298 addClause 386 124 -24 
1299 addClause -416 510 -412 
1300 addClause 458 514 215 
1301 addClause 502 -507 253 
1302 addClause 23 225 -48 
1303 addClause 444 -310 -306 
1304 addClause 347 -49 127 
1305 addClause -282 -76 -247 
1306 addClause -332 -190 -227 
1307 addClause 124 381 -342 
1308 addClause 228 -513 408 
1309 addClause 45 -505 -207 
1310 addClause -488 463 473 
1311 addClause 424 91 -511 
1312 addClause -410 58 466 
1313 addClause -367 127 -179 
1314 addClause 510 -334 418 
1315 addClause -278 49 231 
1316 addClause 113 355 -464 
1317 addClause 417 -171 -243 
1318 addClause -429 248 6 
1319 addClause -23 -267 -50 
1320 addClause 498 -235 511 
1321 addClause 231 129 -176 
1322 addClause 156 -139 265 
1323 addClause -198 392 344 
1324 addClause 186 25 362 
1325 addClause -86 151 240 
1326 addClause -269 216 87 
1327 addClause -430 -423 468 
1328 addClause 384 132 -51 
1329 addClause -289 -440 33 
1330 addClause 349 253 -49 
1331 addClause 399 -409 97 
1332 addClause 76 150 332 
1333 addClause -425 -198 289 
1334 addClause 132 -152 -370 
1335 addClause 373 -485 376 
1336 addClause -416 -314 -377 
1337 addClause 307 -164 -223 
1338 addClause 469 222 284 
1339 addClause 100 -352 123 
1340 addClause -293 170 -363 
1341 addClause -100 209 315 
1342 addClause 109 -56 -338 
1343 addClause -33 448 443 
1344 addClause 229 339 -6 
1345 addClause -457 79 -220 
1346 addClause -59 129 248 
1347 addClause 73 195 479 
1348 addClause -414 173 142 
1349 addClause -419 -213 321 
1350 addClause 39 -490 -506 
1351 addClause -136 471 -184 
1352 addClause 116 204 172 
1353 addClause 160 68 -457 
1354 addClause -5 372 -474 
1355 addClause -188 223 -368 
1356 addClause 160 475 -268 
1357 addClause 16 307 427 
1358 addClause 203 -235 141 
1359 addClause -143 250 -245 
1360 addClause 131 -329 -514 
1361 addClause 38 -173 337 
1362 addClause -360 372 -388 
1363 addClause 136 -79 166 
1364 addClause 82 353 355 
1365 addClause 144 -46 -392 
1366 addClause 398 -224 118 
1367 addClause 381 -364 75 
1368 addClause -99 121 -14 
1369 addClause -437 -342 -222 
1370 addClause 371 -387 399 
1371 addClause -334 -134 -26 
1372 addClause -1 -250 -501 
1373 addClause -226 101 -454 
1374 addClause 215 172 -420 
1375 addClause -38 -365 -487 
1376 addClause 51 -5 -4 
1377 addClause -143 -148 295 
1378 addClause -399 -332 -190 
1379 addClause -464 52 -300 
1380 addClause -3 -196 166 
1381 addClause -330 412 -186 
1382 addClause -514 -6 -115 
1383 addClause -59 38 -160 
1384 addClause -285 446 -493 
1385 addClause -352 -235 445 
1386 addClause 383 -284 -489 
1387 addClause 97 -452 298 
1388 addClause 512 -259 174 
1389 addClause -416 119 506 
1390 addClause -298 100 314 
1391 addClause -326 -505 -164 
1392 addClause -164 -73 -241 
1393 addClause 495 130 442 
1394 addClause -268 271 -165 
1395 addClause -72 -352 46 
1396 addClause -254 -217 -454 
1397 addClause 413 153 -154 
1398 addClause -238 388 -436 
1399 addClause 386 97 -325 
1400 addClause 350 61 139 
1401 addClause 359 76 384 
1402 addClause 354 -439 301 
1403 addClause -407 296 -184 
1404 addClause -198 -48 -496 
1405 addClause 438 344 324 
1406 addClause -430 48 278 
1407 addClause -149 -462 -145 
1408 addClause 261 -82 283 
1409 addClause 380 -340 226 
1410 addClause -235 481 -387 
1411 addClause 379 383 -142 
1412 addClause -280 67 -429 
1413 addClause 26 -447 513 
1414 addClause -410 9 280 
1415 addClause -508 270 -138 
1416 addClause 438 -34 364 
1417 addClause -401 -498 -471 
1418 addClause -48 320 149 
1419 addClause 506 -513 -307 
1420 addClause 498 -91 397 
1421 addClause 359 -334 -209 
1422 addClause -200 441 -353 
1423 addClause -266 482 -26 
1424 addClause -207 -468 87 
1425 addClause 441 -398 -170 
1426 addClause -104 281 274 
1427 addClause -97 -122 -410 
1428 addClause 131 -436 18 
1429 addClause 196 -81 52 
1430 addClause -320 -405 190 
1431 addClause -82 -20 -280 
1432 addClause 364 -489 -379 
1433 addClause 492 -153 -370 
1434 addClause -257 -121 454 
1435 addClause 38 -91 89 
1436 addClause 276 -336 506 
1437 addClause -267 212 417 
1438 addClause 376 -38 375 
1439 addClause 407 -446 479 
1440 addClause 193 212 300 
1441 addClause -214 281 -371 
1442 addClause -374 -131 199 
1443 addClause 290 -474 21 
1444 addClause -248 -223 19 
1445 addClause 153 -388 -375 
1446 addClause -201 -117 65 
1447 addClause -64 -283 214 
1448 addClause 352 1 -424 
1449 addClause -483 269 -346 
1450 addClause 108 347 277 
1451 addClause -42 461 -179 
1452 addClause -352 -244 371 
1453 addClause -120 -347 164 
1454 addClause 406 256 165 
1455 addClause -167 499 -90 
1456 addClause 7 480 489 
1457 addClause 213 51 299 
1458 addClause -451 425 482 
1459 addClause 123 -159 -36 
1460 addClause -310 133 -453 
1461 addClause -338 352 159 
1462 addClause -471 1 -322 
1463 addClause -464 51 383 
1464 addClause 468 -47 -407 
1465 addClause -64 138 -220 
1466 addClause 475 283 212 
1467 addClause -89 -144 -344 
1468 addClause -346 21 -331 
1469 addClause 328 135 -414 
1470 addClause 127 402 34 
1471 addClause 128 -100 -389 
1472 addClause -162 178 220 
1473 addClause 129 -472 317 
1474 addClause -171 -4 -33 
1475 addClause 294 499 -486 
1476 addClause -483 204 423 
1477 addClause 261 5 -285 
1478 addClause 246 -349 511 
1479 addClause -78 147 137 
1480 addClause 353 -46 -481 
1481 addClause 380 224 -37 
1482 addClause 435 407 356 
1483 addClause -292 -512 186 
1484 addClause 105 127 -74 
1485 addClause 469 121 327 
1486 addClause -455 425 -321 
1487 addClause 134 314 -337 
1488 addClause -185 -176 218 
1489 addClause 439 82 310 
1490 addClause 289 -369 429 
1491 addClause -217 380 -146 
1492 addClause 56 -255 148 
1493 addClause -420 492 192 
1494 addClause -461 160 -338 
1495 addClause 393 514 493 
1496 addClause 32 342 398 
1497 addClause -70 -25 199 
1498 addClause -23 381 -97 
1499 addClause -432 45 155 
1500 addClause -502 324 459 
1501 addClause 254 415 -18 
1502 addClause 482 -436 -97 
1503 addClause 48 -133 -360 
1504 addClause 316 43 424 
1505 addClause -193 242 473 
1506 addClause 61 305 151 
1507 addClause -246 255 505 
1508 addClause -329 193 -208 
1509 addClause 267 -169 -254 
1510 addClause -195 -391 131 
1511 addClause -502 -49 227 
1512 addClause -356 -21 277 
1513 addClause 305 -431 -85 
1514 addClause 459 -75 -234 
1515 addClause -120 444 -374 
1516 addClause -454 338 -78 
1517 addClause 83 106 252 
1518 addClause 406 361 -365 
1519 addClause -16 291 -243 
1520 addClause -323 -89 -123 
1521 addClause -58 -30 -254 
1522 addClause -161 -304 6 
1523 addClause -159 18 506 
1524 addClause -335 -83 -439 
1525 addClause -167 -480 459 
1526 addClause -279 -370 -223 
1527 addClause 279 158 -136 
1528 addClause 101 26 225 
1529 addClause -408 304 -54 
1530 addClause 134 104 499 
1531 addClause -443 289 -226 
1532 addClause 363 186 -48 
1533 addClause -45 130 -484 
1534 addClause -220 -14 52 
1535 addClause 427 -87 -377 
1536 addClause -140 321 317 
1537 addClause 430 -84 486 
1538 addClause -491 477 28 
1539 addClause 400 -125 -217 
1540 addClause 377 -494 92 
1541 addClause -114 447 -304 
1542 addClause 398 -396 169 
1543 addClause -284 -346 302 
1544 addClause 389 -224 -377 
1545 addClause -10 -187 -223 
1546 addClause -305 315 40 
1547 addClause -435 155 47 
1548 addClause -201 -247 99 
1549 addClause -163 90 504 
1550 addClause -47 -275 59 
1551 addClause 500 362 -331 
1552 addClause 307 42 407 
1553 addClause -395 361 -410 
1554 addClause 53 287 -71 
1555 addClause 274 -504 18 
1556 addClause 417 76 -418 
1557 solve
