1 init
2 using solver RandomSolver
1001 addClause 328 -416 -149 
1002 addClause 183 156 125 
1003 addClause 76 23 91 
1004 addClause 40 -106 -314 
1005 addClause -73 -266 44 
1006 addClause 2 -192 30 
1007 addClause 231 210 -279 
1008 addClause 321 150 121 
1009 addClause -317 254 -287 
1010 addClause 279 -411 374 
1011 addClause -60 385 -258 
1012 addClause 83 -201 146 
1013 addClause 36 -64 -115 
1014 addClause -297 62 -153 
1015 addClause -219 -68 -255 
1016 addClause -330 -413 -411 
1017 addClause -376 -189 360 
1018 addClause 154 238 100 
1019 addClause 356 421 5 
1020 addClause 325 -409 120 
1021 addClause -101 25 -287 
1022 addClause 278 26 -246 
1023 addClause -311 -258 -359 
1024 addClause 17 358 -116 
1025 addClause -138 44 -141 
1026 addClause 313 5 -370 
1027 addClause 359 124 277 
1028 addClause 337 -339 -170 
1029 addClause -133 -316 -169 
1030 addClause -321 -18 123 
1031 addClause -14 -209 -26 
1032 addClause 411 -30 -289 
1033 addClause -163 -317 -280 
1034 addClause 117 400 140 
1035 addClause 354 124 -138 
1036 addClause -174 111 -35 
1037 addClause -356 148 -107 
1038 addClause 103 -135 -193 
1039 addClause -109 25 -331 
1040 addClause -172 -141 -370 
1041 addClause -91 -38 -188 
1042 addClause -284 110 -373 
1043 addClause -391 -279 -20 
1044 addClause -82 27 235 
1045 addClause -11 411 -430 
1046 addClause 238 -405 24 
1047 addClause -136 -73 130 
1048 addClause -125 -398 -298 
1049 addClause -209 97 -33 
1050 addClause 53 146 309 
1051 addClause -253 -207 292 
1052 addClause -185 -387 349 
1053 addClause 278 229 -383 
1054 addClause -423 -282 -224 
1055 addClause 242 6 248 
1056 addClause 192 -133 222 
1057 addClause 356 -155 110 
1058 addClause 224 -370 -302 
1059 addClause -86 -325 -322 
1060 addClause -16 -274 -255 
1061 addClause 332 -184 -225 
1062 addClause 88 -139 -186 
1063 addClause -427 -317 -316 
1064 addClause 65 -25 -390 
1065 addClause 200 385 375 
1066 addClause -219 256 295 
1067 addClause 245 -259 90 
1068 addClause 205 88 119 
1069 addClause -24 326 -84 
1070 addClause 420 307 162 
1071 addClause 16 78 -177 
1072 addClause 44 67 376 
1073 addClause -342 116 150 
1074 addClause 384 -76 -22 
1075 addClause -60 -119 192 
1076 addClause 391 -179 369 
1077 addClause -372 -238 -142 
1078 addClause 188 390 -380 
1079 addClause -393 -202 223 
1080 addClause 149 65 146 
1081 addClause 303 -128 -253 
1082 addClause 324 -29 221 
1083 addClause 175 -33 112 
1084 addClause 189 -243 -60 
1085 addClause 400 30 -109 
1086 addClause 314 301 110 
1087 addClause 57 -45 -178 
1088 addClause 87 -42 -177 
1089 addClause 122 -95 236 
1090 addClause 36 66 235 
1091 addClause -176 -405 -257 
1092 addClause -360 161 -174 
1093 addClause -151 390 59 
1094 addClause -108 283 18 
1095 addClause 193 -215 398 
1096 addClause 388 16 399 
1097 addClause -103 -428 -100 
1098 addClause 214 -192 -390 
1099 addClause 407 -289 230 
1100 addClause -314 49 114 
1101 addClause 425 173 -377 
1102 addClause -295 172 -166 
1103 addClause -44 261 -357 
1104 addClause -256 203 271 
1105 addClause -13 253 -429 
1106 addClause -8 51 59 
1107 addClause -398 -317 200 
1108 addClause 162 -365 -188 
1109 addClause -328 -268 11 
1110 addClause 363 45 297 
1111 addClause 424 -430 -112 
1112 addClause -53 109 388 
1113 addClause -198 -103 118 
1114 addClause 407 -153 -137 
1115 addClause 184 146 102 
1116 addClause 352 429 -228 
1117 addClause -379 -408 273 
1118 addClause 107 -195 -15 
1119 addClause -23 93 224 
1120 addClause -128 -82 26 
1121 addClause -316 -335 -366 
1122 addClause 411 -336 -165 
1123 addClause 198 -337 155 
1124 addClause 356 -414 243 
1125 addClause 190 241 -66 
1126 addClause -247 -119 -241 
1127 addClause -403 221 130 
1128 addClause -142 -117 -155 
1129 addClause -313 -115 347 
1130 addClause 10 -286 286 
1131 addClause -14 -287 -20 
1132 addClause 234 -343 -22 
1133 addClause -164 431 193 
1134 addClause 358 -325 -6 
1135 addClause -287 125 249 
1136 addClause -90 -10 150 
1137 addClause -71 -61 347 
1138 addClause 80 -171 -268 
1139 addClause 122 -309 -131 
1140 addClause 34 -121 -24 
1141 addClause 271 385 -87 
1142 addClause 426 293 297 
1143 addClause 31 -215 -252 
1144 addClause -429 62 101 
1145 addClause 324 -376 -308 
1146 addClause -40 -264 411 
1147 addClause 236 -363 48 
1148 addClause 371 -266 8 
1149 addClause 10 -181 145 
1150 addClause 292 -157 -11 
1151 addClause -358 357 87 
1152 addClause -250 228 -5 
1153 addClause 139 -236 89 
1154 addClause -300 -181 -321 
1155 addClause 128 -148 -45 
1156 addClause -187 139 -41 
1157 addClause -328 177 265 
1158 addClause -282 74 64 
1159 addClause -334 -373 -24 
1160 addClause -309 312 211 
1161 addClause -315 -294 -209 
1162 addClause -16 -192 177 
1163 addClause -265 -388 -178 
1164 addClause -244 329 -25 
1165 addClause -91 -367 -12 
1166 addClause -247 -403 -273 
1167 addClause -429 -356 -283 
1168 addClause 227 65 -309 
1169 addClause 103 22 -420 
1170 addClause 207 -160 -87 
1171 addClause 58 205 170 
1172 addClause -27 -118 -17 
1173 addClause 180 103 252 
1174 addClause -172 154 64 
1175 addClause -379 378 -121 
1176 addClause -381 -434 49 
1177 addClause 188 -268 62 
1178 addClause 398 10 -363 
1179 addClause 339 -329 -317 
1180 addClause 44 -142 -434 
1181 addClause 273 -60 416 
1182 addClause 29 364 -231 
1183 addClause 171 337 127 
1184 addClause -213 429 -144 
1185 addClause -5 23 207 
1186 addClause -79 -12 260 
1187 addClause -203 262 -107 
1188 addClause -427 -406 340 
1189 addClause -397 420 432 
1190 addClause 16 373 164 
1191 addClause 334 75 259 
1192 addClause -264 426 324 
1193 addClause -403 -33 -74 
1194 addClause -31 424 -239 
1195 addClause -306 -309 85 
1196 addClause 420 309 76 
1197 addClause -355 -279 -306 
1198 addClause -180 32 125 
1199 addClause 378 428 -131 
1200 addClause -97 171 34 
1201 addClause 159 -80 -261 
1202 addClause -371 -405 -338 
1203 addClause 211 -218 147 
1204 addClause 39 312 121 
1205 addClause 95 106 329 
1206 addClause -342 -93 132 
1207 addClause 166 355 341 
1208 addClause -180 -31 -46 
1209 addClause 325 254 -26 
1210 addClause -159 -297 -114 
1211 addClause 189 -398 319 
1212 addClause 121 253 -378 
1213 addClause 260 201 -324 
1214 addClause 414 396 -211 
1215 addClause 375 384 -319 
1216 addClause 336 -316 176 
1217 addClause 423 -121 -409 
1218 addClause 410 428 151 
1219 addClause -3 129 -300 
1220 addClause 294 102 -9 
1221 addClause 57 265 94 
1222 addClause 67 -169 -150 
1223 addClause -27 217 -41 
1224 addClause -55 -23 -140 
1225 addClause 2 200 209 
1226 addClause -234 -159 157 
1227 addClause 99 -190 -161 
1228 addClause -176 -162 146 
1229 addClause 147 -95 39 
1230 addClause 60 312 214 
1231 addClause 430 418 268 
1232 addClause -107 318 251 
1233 addClause -383 -167 -3 
1234 addClause 53 -293 -82 
1235 addClause -283 -391 -133 
1236 addClause 154 -171 -37 
1237 addClause -120 385 -176 
1238 addClause 43 4 401 
1239 addClause 41 -179 -194 
1240 addClause -141 278 -236 
1241 addClause 195 -375 -349 
1242 addClause -158 -189 117 
1243 addClause 72 -33 406 
1244 addClause -224 -89 -260 
1245 addClause 109 -319 -419 
1246 addClause 261 240 101 
1247 addClause 19 -217 -127 
1248 addClause -66 -103 -340 
1249 addClause 214 -408 -326 
1250 addClause 360 -41 340 
1251 addClause 348 -32 408 
1252 addClause 277 -265 382 
1253 addClause 75 -55 301 
1254 addClause -31 15 -116 
1255 addClause -390 -223 -432 
1256 addClause -271 -47 111 
1257 addClause -295 298 -265 
1258 addClause -426 92 378 
1259 addClause 294 -224 -107 
1260 addClause 354 -61 167 
1261 addClause 392 -216 423 
1262 addClause 109 386 -16 
1263 addClause 132 -428 307 
1264 addClause -34 124 281 
1265 addClause -130 -175 378 
1266 addClause -312 240 46 
1267 addClause 28 -121 82 
1268 addClause -80 -143 283 
1269 addClause -306 68 -123 
1270 addClause -248 421 -233 
1271 addClause -97 395 229 
1272 addClause 147 -213 -242 
1273 addClause 406 331 361 
1274 addClause -133 79 -385 
1275 addClause 22 162 -320 
1276 addClause -309 -261 -171 
1277 addClause -118 -264 319 
1278 addClause 347 -346 281 
1279 addClause -434 -60 -346 
1280 addClause -291 -76 -145 
1281 addClause 202 38 -226 
1282 addClause 210 301 294 
1283 addClause 13 220 -367 
1284 addClause 162 -94 295 
1285 addClause 248 172 -201 
1286 addClause 369 20 -263 
1287 addClause 281 -400 -303 
1288 addClause -256 -283 48 
1289 addClause -309 251 -71 
1290 addClause 381 -243 116 
1291 addClause 183 -402 -280 
1292 addClause -80 261 78 
1293 addClause 164 160 -63 
1294 addClause 15 -31 241 
1295 addClause -425 416 -386 
1296 addClause -187 267 -323 
1297 addClause -392 348 -292 
1298 addClause -331 -219 -283 
1299 addClause -140 197 144 
1300 addClause 131 141 124 
1301 addClause -162 -303 243 
1302 addClause -235 291 186 
1303 addClause -46 -179 -41 
1304 addClause -171 51 -358 
1305 addClause -137 211 157 
1306 addClause -154 -409 7 
1307 addClause 129 -233 -409 
1308 solve
