1 init
2 Data Structure Factory : CardinalityDataStructure
3 Learning Strategy : MiniSATLearning
994 addClause 194 320 -306 
995 addClause 86 -236 225 
996 addClause -192 244 -245 
997 addClause -117 -306 -158 
998 addClause 43 -22 224 
999 addClause 310 -45 199 
1000 addClause -63 -264 -226 
1001 addClause 170 145 -151 
1002 addClause 224 179 116 
1003 addClause -165 -146 -307 
1004 addClause -109 149 6 
1005 addClause 31 56 -159 
1006 addClause 222 303 326 
1007 solve
