1 init
2 Data Structure Factory : ClausalDataStructureWL
3 Order : PureOrder/period=17
991 addClause 172 1 -166 
992 addClause -42 -275 -181 
993 addClause -239 103 -331 
994 addClause 13 36 215 
995 addClause -125 159 -189 
996 addClause -181 229 261 
997 addClause -316 223 206 
998 addClause 68 88 33 
999 addClause -130 -64 98 
1000 addClause -320 293 -312 
1001 addClause 341 172 -318 
1002 addClause 329 278 333 
1003 addClause -196 231 216 
1004 addClause 324 -217 -109 
1005 addClause 121 -131 -333 
1006 addClause 200 228 40 
1007 addClause 40 41 159 
1008 addClause 265 -253 -179 
1009 addClause -271 -95 332 
1010 addClause -261 -206 -39 
1011 addClause -330 -331 -85 
1012 addClause 68 285 44 
1013 addClause 256 118 -105 
1014 addClause -1 129 -243 
1015 addClause 27 268 248 
1016 addClause 17 51 182 
1017 addClause -76 215 -317 
1018 addClause -315 276 -64 
1019 addClause 159 11 196 
1020 addClause 214 -263 235 
1021 addClause 215 224 109 
1022 addClause -295 104 82 
1023 addClause 37 -147 -325 
1024 addClause 135 -205 276 
1025 addClause -115 167 -166 
1026 addClause 101 196 135 
1027 addClause -107 33 -73 
1028 addClause -67 28 16 
1029 addClause -283 -50 335 
1030 addClause 170 184 72 
1031 addClause 201 -21 102 
1032 addClause 287 229 -148 
1033 addClause -19 -162 33 
1034 addClause 300 339 102 
1035 addClause 298 102 -283 
1036 addClause 167 258 -56 
1037 addClause 113 58 -207 
1038 solve
