1 init
2 Data Structure Factory : CardinalityDataStructureYanMax
3 Phase Selection Strategy : PhaseCachingAutoEraseStrategy
4 Restart Strategy : ArminRestarts
991 addClause -122 329 -289 
992 addClause 269 71 311 
993 addClause -195 356 224 
994 addClause 274 -96 -95 
995 addClause 332 -55 -259 
996 addClause -273 272 40 
997 addClause -317 -315 327 
998 addClause 32 104 -277 
999 addClause 201 -279 -86 
1000 addClause 296 179 209 
1001 addClause 34 -170 -279 
1002 addClause -120 327 -69 
1003 addClause -72 -36 -99 
1004 addClause -208 -255 -238 
1005 addClause -76 21 340 
1006 addClause 166 -21 148 
1007 addClause -158 273 -155 
1008 addClause 71 169 297 
1009 addClause 174 190 -87 
1010 addClause -213 148 78 
1011 addClause 68 276 -241 
1012 addClause -31 72 45 
1013 addClause -180 106 305 
1014 addClause 102 -298 44 
1015 addClause -82 -303 -123 
1016 addClause -109 188 -303 
1017 addClause -174 -297 -94 
1018 addClause 22 305 -27 
1019 addClause -175 -276 -17 
1020 addClause -88 -84 89 
1021 addClause -66 33 236 
1022 addClause 43 195 320 
1023 addClause 117 319 -23 
1024 addClause 316 -75 99 
1025 addClause -113 309 67 
1026 addClause -41 140 80 
1027 addClause 305 173 72 
1028 addClause 303 31 90 
1029 addClause -148 -185 -29 
1030 addClause 29 15 276 
1031 addClause 220 87 -192 
1032 addClause 225 183 -27 
1033 addClause -61 270 274 
1034 addClause 7 -329 -73 
1035 addClause 42 -199 -250 
1036 addClause 70 -295 184 
1037 addClause -339 88 19 
1038 addClause -142 288 140 
1039 addClause 73 75 -330 
1040 addClause -323 267 161 
1041 addClause -202 347 -328 
1042 addClause -221 -295 150 
1043 addClause 205 354 -344 
1044 addClause 315 -161 76 
1045 addClause 13 -175 -210 
1046 addClause 347 50 -145 
1047 addClause 18 315 107 
1048 addClause -341 -238 264 
1049 addClause -138 107 228 
1050 addClause 215 186 -341 
1051 addClause -316 -154 20 
1052 addClause -200 -219 -221 
1053 addClause -231 280 -306 
1054 addClause 266 140 -128 
1055 addClause -142 -236 184 
1056 addClause 212 -142 265 
1057 addClause 187 -243 44 
1058 addClause 280 -289 -251 
1059 addClause 257 295 -334 
1060 addClause -321 21 -202 
1061 addClause 189 81 -189 
1062 addClause 346 -103 -140 
1063 addClause -151 -353 37 
1064 addClause -77 -163 277 
1065 addClause 328 -135 241 
1066 addClause -356 100 309 
1067 addClause 37 -5 129 
1068 addClause -253 131 237 
1069 addClause -152 262 173 
1070 addClause -341 248 288 
1071 addClause 123 25 -154 
1072 addClause -58 264 36 
1073 addClause 229 -350 -293 
1074 addClause -160 -164 -249 
1075 addClause 27 264 -347 
1076 addClause 208 128 -313 
1077 addClause -56 300 -175 
1078 addClause 186 237 -346 
1079 addClause -263 -64 -117 
1080 addClause -195 -90 -191 
1081 addClause 100 95 -5 
1082 addClause 116 226 -96 
1083 addClause 55 -52 -132 
1084 addClause 202 -41 -226 
1085 addClause 27 335 236 
1086 addClause -223 -143 116 
1087 solve
