1 init
2 Data Structure Factory : CardinalityDataStructureYanMax
3 Learning Strategy : ClauseOnlyLearning
988 addClause 254 -175 60 
989 addClause -139 5 -195 
990 addClause 151 274 128 
991 addClause 122 -210 64 
992 addClause -208 40 107 
993 addClause 279 -1 -69 
994 addClause -95 64 218 
995 addClause 320 204 -131 
996 addClause -273 253 -298 
997 addClause -190 308 166 
998 addClause 83 -320 -143 
999 addClause -325 330 -61 
1000 addClause -260 -242 -223 
1001 addClause -111 287 211 
1002 addClause 340 338 56 
1003 addClause -239 -15 207 
1004 addClause -51 -203 -125 
1005 addClause -332 -183 -155 
1006 addClause 216 -145 -328 
1007 addClause -62 -15 -262 
1008 addClause 235 -282 -265 
1009 addClause -315 40 -19 
1010 addClause -284 -340 97 
1011 addClause -271 181 -264 
1012 addClause -97 285 -166 
1013 addClause 305 11 -93 
1014 addClause -26 289 -168 
1015 addClause -215 -118 4 
1016 addClause -127 205 -55 
1017 addClause -341 203 10 
1018 addClause -153 -336 -106 
1019 addClause -237 -77 -332 
1020 addClause -267 -132 62 
1021 addClause 212 103 -297 
1022 addClause 214 -181 66 
1023 addClause -260 -60 -176 
1024 addClause 188 162 -209 
1025 addClause -1 229 282 
1026 addClause 154 -42 260 
1027 addClause 172 -143 -58 
1028 addClause -292 217 123 
1029 addClause -247 -70 30 
1030 addClause 12 -254 206 
1031 addClause -246 314 -320 
1032 addClause 292 151 -182 
1033 addClause -163 190 244 
1034 addClause 327 83 144 
1035 addClause 243 -114 -226 
1036 addClause 151 286 -152 
1037 addClause -99 -74 -283 
1038 addClause 5 -111 31 
1039 addClause 98 65 216 
1040 addClause 187 -338 246 
1041 addClause -109 38 12 
1042 addClause -258 -317 -310 
1043 addClause 3 -13 243 
1044 addClause -135 -122 239 
1045 addClause 234 10 -136 
1046 addClause -46 -222 72 
1047 solve
